Date,P,rH,T,Tsin
2012/01/01,10.01,50.01,0.070238019,-8.748393904
2012/02/01,10.02,50.02,0.631006714,-8.964435129
2012/03/01,10.03,50.03,0.182576568,-9.050469141
2012/04/01,10.04,50.04,0.525603606,-9.005248225
2012/05/01,10.05,50.05,1.527339586,-8.8294282
2012/06/01,10.06,50.06,1.482304833,-8.525558907
2012/07/01,10.07,50.07,1.287477474,-8.098047226
2012/08/01,10.08,50.08,2.665699769,-7.553093169
2012/09/01,10.09,50.09,3.728555047,-6.898599963
2012/10/01,10.1,50.1,4.57085939,-6.14405943
2012/11/01,10.11,50.11,5.677784831,-5.300414337
2012/12/01,10.12,50.12,6.347376043,-4.379899693
2013/01/01,10.13,50.13,7.857872745,-3.395865313
2013/02/01,10.14,50.14,9.023163145,-2.362582209
2013/03/01,10.15,50.15,9.10248946,-1.295035626
2013/04/01,10.16,50.16,10.08213381,-0.208707718
2013/05/01,10.17,50.17,11.33716207,0.880646986
2013/06/01,10.18,50.18,11.92601127,1.957230058
2013/07/01,10.19,50.19,12.60018928,3.005428293
2013/08/01,10.2,50.2,13.71584039,4.010040139
2013/09/01,10.21,50.21,14.31150234,4.956496157
2013/10/01,10.22,50.22,15.27374233,5.831070316
2013/11/01,10.23,50.23,16.41232996,6.621079057
2013/12/01,10.24,50.24,17.35288731,7.315065234
2014/01/01,10.25,50.25,18.53987741,7.902964275
2014/02/01,10.26,50.26,19.40688761,8.376250141
2014/03/01,10.27,50.27,19.89132591,8.728058978
2014/04/01,10.28,50.28,20.02706335,8.953288658
2014/05/01,10.29,50.29,20.0788562,9.048672777
2014/06/01,10.3,50.3,20.07946208,9.012828021
2014/07/01,10.31,50.31,20.26383407,8.846274229
2014/08/01,10.32,50.32,19.80560317,8.551426859
2014/09/01,10.33,50.33,19.04066814,8.132561949
2014/10/01,10.34,50.34,17.96636277,7.595754111
2014/11/01,10.35,50.35,17.09517941,6.948788431
2014/12/01,10.36,50.36,16.47759928,6.201047565
2015/01/01,10.37,50.37,15.91167198,5.363375664
2015/02/01,10.38,50.38,14.82432782,4.447921112
2015/03/01,10.39,50.39,13.56781195,3.46796034
2015/04/01,10.4,50.4,12.39206325,2.437705281
2015/05/01,10.41,50.41,11.7655665,1.372097267
2015/06/01,10.42,50.42,11.37857654,0.286590338
2015/07/01,10.43,50.43,10.257644,-0.803072884
2015/08/01,10.44,50.44,9.105488651,-1.881089498
2015/09/01,10.45,50.45,7.562491556,-2.931825507
2015/10/01,10.46,50.46,6.403223562,-3.940042555
2015/11/01,10.47,50.47,4.988907532,-4.891118919
2015/12/01,10.48,50.48,4.166701979,-5.771261562
2016/01/01,10.49,50.49,3.480631627,-6.567706166
2016/02/01,10.5,50.5,3.137764651,-7.268902249
2016/03/01,10.51,50.51,2.755156024,-7.864680677
2016/04/01,10.52,50.52,1.795460363,-8.346401141
2016/05/01,10.53,50.53,1.279677625,-8.707077462
2016/06/01,10.54,50.54,1.436233723,-8.941478912
2016/07/01,10.55,50.55,2.274925403,-9.046206072
2016/08/01,10.56,50.56,2.488028372,-9.01974013
2016/09/01,10.57,50.57,2.917580872,-8.862464911
2016/10/01,10.58,50.58,3.418802841,-8.576661305
2016/11/01,10.59,50.59,4.391937175,-8.166474197
2016/12/01,10.6,50.6,4.680692997,-7.637852346
2017/01/01,10.61,50.61,4.970762603,-6.998462122
2017/02/01,10.62,50.62,6.108902709,-6.257576315
2017/03/01,10.63,50.63,7.570594461,-5.425939662
2017/04/01,10.64,50.64,8.21012568,-4.515613021
2017/05/01,10.65,50.65,9.162935694,-3.539798453
2017/06/01,10.66,50.66,10.18917117,-2.512647764
